job_id,section_id,zone,job_type,ml_priority_score,urgency,estimated_duration_hrs,scheduled_date,scheduled_day,block_start_hr,block_end_hr,block_start_time,block_end_time,days_overdue,defect_severity
JOB_0278,SEC_032,Central Railway,OHE Maintenance,69.87999725341797,High,5.9,2026-01-08,7,2,8,02:00,08:00,57,2
JOB_0218,SEC_026,Central Railway,Ballast Tamping,69.80999755859375,High,3.2,2026-01-10,9,3,7,03:00,07:00,75,5
JOB_0071,SEC_020,Central Railway,Fish Plate Fixing,69.73999786376953,High,2.4,2026-01-11,10,3,6,03:00,06:00,90,2
JOB_0107,SEC_012,Southern Railway,Drainage Clearance,69.69000244140625,High,2.7,2026-01-10,9,2,5,02:00,05:00,60,2
JOB_0092,SEC_011,South Central Railway,Sleeper Replacement,69.52999877929688,High,4.6,2026-01-07,6,1,6,01:00,06:00,66,4
JOB_0123,SEC_002,Central Railway,Drainage Clearance,69.3499984741211,High,3.0,2026-01-09,8,3,6,03:00,06:00,35,5
JOB_0180,SEC_030,Southern Railway,Sleeper Replacement,69.30999755859375,High,6.0,2026-01-08,7,2,8,02:00,08:00,8,5
JOB_0074,SEC_031,Northern Railway,Track Geometry Correction,69.22000122070312,High,4.1,2026-01-10,9,3,8,03:00,08:00,25,5
JOB_0143,SEC_001,Northern Railway,Level Crossing Repair,69.22000122070312,High,3.1,2026-01-09,8,2,6,02:00,06:00,42,5
JOB_0168,SEC_027,Western Railway,Signal Cable Work,69.18000030517578,High,4.0,2026-01-09,8,1,5,01:00,05:00,53,4
JOB_0094,SEC_020,Central Railway,Rail Replacement,69.1500015258789,High,7.3,2026-01-11,10,6,14,06:00,14:00,50,3
JOB_0183,SEC_030,Southern Railway,Rail Replacement,69.02999877929688,High,8.0,2026-01-11,10,2,10,02:00,10:00,54,2
JOB_0137,SEC_020,Central Railway,Signal Cable Work,68.9800033569336,High,2.4,2026-01-12,11,3,6,03:00,06:00,46,3
JOB_0165,SEC_010,Eastern Railway,Drainage Clearance,68.94999694824219,High,2.2,2026-01-12,11,2,5,02:00,05:00,49,4
JOB_0290,SEC_006,Southern Railway,Track Geometry Correction,56.599998474121094,Medium,6.0,2026-01-12,11,2,8,02:00,08:00,45,2
JOB_0212,SEC_006,Southern Railway,Drainage Clearance,55.04999923706055,Medium,1.7,2026-01-13,12,2,4,02:00,04:00,58,1
JOB_0093,SEC_006,Southern Railway,Drainage Clearance,54.79999923706055,Medium,1.9,2026-01-13,12,0,2,00:00,02:00,57,1
JOB_0236,SEC_037,Northern Railway,Level Crossing Repair,52.779998779296875,Medium,2.5,2026-01-13,12,3,6,03:00,06:00,45,2
JOB_0220,SEC_029,South Central Railway,Fish Plate Fixing,51.650001525878906,Medium,2.9,2026-01-15,14,1,4,01:00,04:00,29,1
JOB_0009,SEC_033,Western Railway,Weld Repair,51.619998931884766,Medium,3.9,2026-01-16,15,2,6,02:00,06:00,55,1
JOB_0141,SEC_005,South Central Railway,Weld Repair,51.560001373291016,Medium,2.8,2026-01-15,14,2,5,02:00,05:00,55,3
JOB_0206,SEC_030,Southern Railway,Drainage Clearance,51.54999923706055,Medium,2.0,2026-01-15,14,3,5,03:00,05:00,46,1
JOB_0073,SEC_010,Eastern Railway,Fish Plate Fixing,51.40999984741211,Medium,2.9,2026-01-14,13,3,6,03:00,06:00,5,3
JOB_0002,SEC_005,South Central Railway,Fish Plate Fixing,51.25,Medium,2.5,2026-01-14,13,3,6,03:00,06:00,12,5
JOB_0005,SEC_040,Eastern Railway,Fish Plate Fixing,51.209999084472656,Medium,2.1,2026-01-14,13,2,5,02:00,05:00,57,2
JOB_0008,SEC_034,Eastern Railway,Ballast Tamping,50.9900016784668,Medium,5.3,2026-01-16,15,2,8,02:00,08:00,36,1
JOB_0057,SEC_024,Southern Railway,Drainage Clearance,50.849998474121094,Medium,1.8,2026-01-16,15,3,5,03:00,05:00,36,1
JOB_0159,SEC_026,Central Railway,Weld Repair,50.7400016784668,Medium,2.8,2026-01-17,16,2,5,02:00,05:00,23,4
JOB_0273,SEC_018,Southern Railway,Level Crossing Repair,50.380001068115234,Medium,2.6,2026-01-17,16,3,6,03:00,06:00,77,1
