job_id,section_id,zone,job_type,reported_date,days_overdue,estimated_duration_hrs,asset_age_years,track_condition_score,traffic_density_num,days_since_inspection,defect_severity,risk_level,risk_level_num,preferred_window_start_hr,preferred_window_end_hr,priority_score,assigned_block_day,assigned_block_start_hr
JOB_0028,SEC_029,South Central Railway,Sleeper Replacement,2025-11-05,57,7.6,17.2,33.9,2,37,1,High,3,2,10,58.8,6,2
JOB_0029,SEC_018,Southern Railway,Rail Replacement,2025-12-23,9,5.5,8.8,63.0,1,144,4,High,3,1,7,48.5,4,1
JOB_0030,SEC_039,Western Railway,Signal Cable Work,2025-12-28,4,2.3,30.8,59.7,2,145,2,High,3,3,6,42.7,11,3
JOB_0031,SEC_024,Southern Railway,Level Crossing Repair,2025-10-21,72,3.8,34.5,58.5,3,169,1,High,3,2,6,60.0,7,2
JOB_0032,SEC_005,South Central Railway,OHE Maintenance,2025-12-15,17,4.1,6.4,82.5,2,193,5,High,3,2,7,47.2,8,2
JOB_0033,SEC_016,Eastern Railway,Ballast Tamping,2025-12-29,3,4.5,44.8,74.2,3,293,2,High,3,2,7,47.9,8,2
JOB_0034,SEC_029,South Central Railway,Track Geometry Correction,2025-10-15,78,5.8,17.2,33.9,2,37,3,Critical,4,2,8,77.0,3,2
JOB_0035,SEC_008,Central Railway,Weld Repair,2025-12-23,9,2.3,44.4,71.3,4,61,4,Critical,4,3,6,67.4,5,3
JOB_0036,SEC_023,South Central Railway,Ballast Tamping,2025-10-23,70,3.9,42.7,92.7,2,280,5,Critical,4,2,6,70.4,2,2
JOB_0037,SEC_012,Southern Railway,Sleeper Replacement,2025-10-28,65,4.6,39.7,39.3,2,345,2,Critical,4,2,7,72.7,0,2
JOB_0038,SEC_024,Southern Railway,Drainage Clearance,2025-10-20,73,1.9,34.5,58.5,3,169,3,Critical,4,3,5,78.2,2,3
JOB_0039,SEC_040,Eastern Railway,Ballast Tamping,2025-12-24,8,4.2,2.4,64.9,3,298,3,Medium,2,2,7,41.2,29,2
JOB_0040,SEC_027,Western Railway,OHE Maintenance,2025-12-23,9,5.9,24.1,77.0,2,258,2,Medium,2,3,9,35.3,7,3
JOB_0041,SEC_029,South Central Railway,Signal Cable Work,2025-10-06,87,3.4,17.2,33.9,2,37,5,Critical,4,3,7,90.3,2,3
JOB_0042,SEC_009,Western Railway,Level Crossing Repair,2025-10-29,64,4.5,9.0,69.6,2,353,1,Medium,2,3,8,40.8,2,3
JOB_0043,SEC_020,Central Railway,Weld Repair,2025-12-12,20,3.9,25.2,61.8,3,281,3,High,3,3,7,57.1,9,3
JOB_0044,SEC_006,Southern Railway,Fish Plate Fixing,2025-12-07,25,1.5,25.1,83.9,4,203,5,Critical,4,3,5,76.0,4,3
JOB_0045,SEC_040,Eastern Railway,Drainage Clearance,2025-12-21,11,2.3,2.4,64.9,3,298,5,High,3,1,4,53.7,10,1
JOB_0046,SEC_037,Northern Railway,Rail Replacement,2025-12-29,3,4.2,27.6,67.6,3,130,1,Medium,2,3,8,35.7,29,3
JOB_0047,SEC_037,Northern Railway,Fish Plate Fixing,2025-10-10,83,2.5,27.6,67.6,3,130,2,Critical,4,2,5,67.4,4,2
JOB_0048,SEC_020,Central Railway,Signal Cable Work,2025-12-01,31,3.2,25.2,61.8,3,281,4,Critical,4,1,5,69.7,0,1
JOB_0049,SEC_011,South Central Railway,Signal Cable Work,2025-11-09,53,3.9,11.8,43.7,1,171,4,Critical,4,3,7,66.3,5,3
JOB_0050,SEC_023,South Central Railway,Level Crossing Repair,2025-12-16,16,3.5,42.7,92.7,2,280,3,High,3,1,5,52.4,10,1
JOB_0051,SEC_016,Eastern Railway,Signal Cable Work,2025-12-17,15,3.8,44.8,74.2,3,293,3,High,3,2,6,58.9,13,2
JOB_0052,SEC_016,Eastern Railway,Weld Repair,2025-11-21,41,3.4,44.8,74.2,3,293,5,Critical,4,1,5,79.5,2,1
JOB_0053,SEC_032,Central Railway,Drainage Clearance,2025-11-03,59,2.8,37.9,61.3,4,131,4,Critical,4,2,5,80.8,7,2
JOB_0054,SEC_016,Eastern Railway,Track Geometry Correction,2025-10-19,74,3.2,44.8,74.2,3,293,3,Critical,4,2,6,77.1,7,2
JOB_0055,SEC_039,Western Railway,Signal Cable Work,2025-11-26,36,2.0,30.8,59.7,2,145,5,Critical,4,2,5,74.3,5,2
JOB_0056,SEC_026,Central Railway,Sleeper Replacement,2025-12-27,5,4.3,5.1,85.9,3,127,4,High,3,3,8,47.4,6,3
JOB_0057,SEC_024,Southern Railway,Drainage Clearance,2025-11-26,36,1.8,34.5,58.5,3,169,1,High,3,3,5,50.6,1,3
JOB_0058,SEC_009,Western Railway,Ballast Tamping,2025-11-12,50,5.4,9.0,69.6,2,353,3,High,3,2,8,55.2,5,2
JOB_0059,SEC_010,Eastern Railway,Track Geometry Correction,2025-10-16,77,4.6,25.0,74.5,2,246,5,Critical,4,3,8,79.5,5,3
JOB_0060,SEC_031,Northern Railway,Drainage Clearance,2025-11-04,58,2.2,14.0,33.3,2,48,2,High,3,3,6,60.2,2,3
JOB_0061,SEC_021,Western Railway,OHE Maintenance,2025-11-22,40,4.2,42.0,87.1,4,167,2,High,3,3,8,55.6,5,3
JOB_0062,SEC_033,Western Railway,Drainage Clearance,2025-10-25,68,2.4,40.8,90.2,2,11,4,Critical,4,2,5,70.0,7,2
JOB_0063,SEC_002,Central Railway,Sleeper Replacement,2025-11-20,42,8.9,5.7,62.8,2,25,1,Medium,2,3,12,34.8,0,3
JOB_0064,SEC_039,Western Railway,Signal Cable Work,2025-11-29,33,4.3,30.8,59.7,2,145,5,Critical,4,3,8,70.3,0,3
JOB_0065,SEC_038,Central Railway,Signal Cable Work,2025-12-11,21,4.5,28.6,90.8,2,308,5,Critical,4,1,6,59.2,3,1
JOB_0066,SEC_003,Western Railway,OHE Maintenance,2025-10-04,89,3.6,26.1,68.3,3,289,1,High,3,2,6,59.1,5,2
JOB_0067,SEC_027,Western Railway,Weld Repair,2025-11-10,52,2.8,24.1,77.0,2,258,2,High,3,3,6,53.7,0,3
JOB_0068,SEC_009,Western Railway,Drainage Clearance,2025-12-06,26,1.7,9.0,69.6,2,353,5,Critical,4,3,5,56.7,7,3
JOB_0069,SEC_034,Eastern Railway,Level Crossing Repair,2025-11-22,40,3.4,14.3,40.1,3,294,2,High,3,3,7,54.2,4,3
JOB_0070,SEC_040,Eastern Railway,Signal Cable Work,2025-12-08,24,3.1,2.4,64.9,3,298,2,Medium,2,2,6,40.1,7,2
JOB_0071,SEC_020,Central Railway,Fish Plate Fixing,2025-10-03,90,2.4,25.2,61.8,3,281,2,Critical,4,3,6,69.8,4,3
JOB_0072,SEC_019,Northern Railway,Ballast Tamping,2025-10-20,73,4.1,39.4,39.9,2,337,5,Critical,4,2,7,89.3,5,2
JOB_0073,SEC_010,Eastern Railway,Fish Plate Fixing,2025-12-27,5,2.9,25.0,74.5,2,246,3,High,3,3,6,51.8,8,3
JOB_0074,SEC_031,Northern Railway,Track Geometry Correction,2025-12-07,25,4.1,14.0,33.3,2,48,5,Critical,4,3,8,73.5,4,3
JOB_0075,SEC_009,Western Railway,Ballast Tamping,2025-10-15,78,3.7,9.0,69.6,2,353,5,Critical,4,1,5,80.4,3,1
JOB_0076,SEC_004,Eastern Railway,Ballast Tamping,2025-11-10,52,5.2,34.6,44.0,2,226,3,Critical,4,1,7,73.3,2,1
JOB_0077,SEC_001,Northern Railway,Drainage Clearance,2025-12-12,20,2.3,29.5,77.9,1,150,4,High,3,3,6,55.3,6,3
JOB_0078,SEC_019,Northern Railway,Sleeper Replacement,2025-11-26,36,8.5,39.4,39.9,2,337,1,High,3,1,10,53.9,3,1
JOB_0079,SEC_035,South Central Railway,Rail Replacement,2025-12-10,22,7.5,11.4,33.7,1,287,4,Critical,4,2,10,63.7,7,2
JOB_0080,SEC_012,Southern Railway,Fish Plate Fixing,2025-12-28,4,1.6,39.7,39.3,2,345,1,High,3,3,5,53.1,3,3
JOB_0081,SEC_022,Eastern Railway,Fish Plate Fixing,2025-11-04,58,2.0,5.7,38.3,3,45,5,Critical,4,3,6,79.6,7,3
JOB_0082,SEC_018,Southern Railway,Track Geometry Correction,2025-12-18,14,3.6,8.8,63.0,1,144,3,High,3,2,6,42.7,8,2
JOB_0083,SEC_012,Southern Railway,Rail Replacement,2025-11-19,43,6.3,39.7,39.3,2,345,3,Critical,4,3,10,71.9,6,3
JOB_0084,SEC_028,Eastern Railway,Drainage Clearance,2025-11-21,41,1.8,26.8,36.1,2,252,1,High,3,1,3,52.5,2,1
JOB_0085,SEC_009,Western Railway,Signal Cable Work,2025-11-21,41,2.0,9.0,69.6,2,353,2,High,3,2,5,45.0,5,2
JOB_0086,SEC_020,Central Railway,OHE Maintenance,2025-10-20,73,3.8,25.2,61.8,3,281,1,High,3,2,6,61.3,3,2
JOB_0087,SEC_004,Eastern Railway,Ballast Tamping,2025-11-03,59,3.5,34.6,44.0,2,226,3,Critical,4,3,7,71.1,4,3
JOB_0088,SEC_008,Central Railway,Fish Plate Fixing,2025-11-15,47,1.4,44.4,71.3,4,61,5,Critical,4,1,3,78.6,7,1
JOB_0089,SEC_010,Eastern Railway,Signal Cable Work,2025-10-16,77,3.7,25.0,74.5,2,246,3,Critical,4,3,7,66.2,3,3
JOB_0090,SEC_016,Eastern Railway,OHE Maintenance,2025-12-22,10,4.3,44.8,74.2,3,293,5,Critical,4,3,8,70.2,5,3
JOB_0091,SEC_005,South Central Railway,OHE Maintenance,2025-12-18,14,5.5,6.4,82.5,2,193,1,Medium,2,3,9,29.3,9,3
JOB_0092,SEC_011,South Central Railway,Sleeper Replacement,2025-10-27,66,4.6,11.8,43.7,1,171,4,Critical,4,1,6,69.3,7,1
JOB_0093,SEC_006,Southern Railway,Drainage Clearance,2025-11-05,57,1.9,25.1,83.9,4,203,1,High,3,1,3,51.2,7,1
JOB_0094,SEC_020,Central Railway,Rail Replacement,2025-11-12,50,7.3,25.2,61.8,3,281,3,Critical,4,3,11,67.5,3,3
JOB_0095,SEC_038,Central Railway,Ballast Tamping,2025-12-27,5,4.0,28.6,90.8,2,308,4,High,3,1,6,57.0,15,1
JOB_0096,SEC_003,Western Railway,Fish Plate Fixing,2025-11-10,52,2.5,26.1,68.3,3,289,2,High,3,3,6,61.3,6,3
JOB_0097,SEC_024,Southern Railway,Level Crossing Repair,2025-11-05,57,3.1,34.5,58.5,3,169,4,Critical,4,3,7,76.4,2,3
JOB_0098,SEC_023,South Central Railway,Ballast Tamping,2025-12-10,22,4.2,42.7,92.7,2,280,5,Critical,4,1,6,63.4,3,1
JOB_0099,SEC_001,Northern Railway,Rail Replacement,2025-11-24,38,6.7,29.5,77.9,1,150,4,Critical,4,1,8,58.8,3,1
JOB_0100,SEC_030,Southern Railway,Sleeper Replacement,2025-12-13,19,4.9,36.4,39.1,1,108,3,Critical,4,3,8,61.0,1,3
JOB_0101,SEC_003,Western Railway,Level Crossing Repair,2025-10-15,78,2.7,26.1,68.3,3,289,1,High,3,2,5,62.7,0,2
JOB_0102,SEC_016,Eastern Railway,Rail Replacement,2025-11-11,51,4.9,44.8,74.2,3,293,4,Critical,4,1,6,77.7,0,1
JOB_0103,SEC_009,Western Railway,Drainage Clearance,2025-11-25,37,2.6,9.0,69.6,2,353,2,Medium,2,3,6,41.8,5,3
JOB_0104,SEC_016,Eastern Railway,Fish Plate Fixing,2025-12-14,18,1.4,44.8,74.2,3,293,5,Critical,4,2,4,70.9,4,2
JOB_0105,SEC_004,Eastern Railway,Drainage Clearance,2025-10-18,75,2.3,34.6,44.0,2,226,2,Critical,4,2,5,69.7,6,2
JOB_0106,SEC_034,Eastern Railway,Sleeper Replacement,2025-10-04,89,6.0,14.3,40.1,3,294,4,Critical,4,2,9,84.8,6,2
JOB_0107,SEC_012,Southern Railway,Drainage Clearance,2025-11-02,60,2.7,39.7,39.3,2,345,2,Critical,4,2,5,69.8,0,2
JOB_0108,SEC_036,Southern Railway,Level Crossing Repair,2025-11-09,53,3.6,22.5,85.3,4,281,5,Critical,4,2,6,79.7,3,2
JOB_0109,SEC_017,South Central Railway,Track Geometry Correction,2025-11-20,42,6.7,31.3,37.3,3,146,1,High,3,3,10,59.1,3,3
JOB_0110,SEC_004,Eastern Railway,Fish Plate Fixing,2025-11-14,48,2.2,34.6,44.0,2,226,5,Critical,4,1,4,79.7,3,1
JOB_0111,SEC_038,Central Railway,Drainage Clearance,2025-12-05,27,1.4,28.6,90.8,2,308,4,High,3,1,3,56.9,6,1
JOB_0112,SEC_013,Northern Railway,Ballast Tamping,2025-11-01,61,5.1,12.6,88.4,3,144,2,High,3,3,9,51.2,3,3
JOB_0113,SEC_026,Central Railway,Track Geometry Correction,2025-10-23,70,6.1,5.1,85.9,3,127,3,High,3,2,9,55.6,4,2
JOB_0114,SEC_017,South Central Railway,Sleeper Replacement,2025-10-28,65,6.3,31.3,37.3,3,146,4,Critical,4,3,10,85.3,7,3
JOB_0115,SEC_021,Western Railway,Track Geometry Correction,2025-11-15,47,4.7,42.0,87.1,4,167,3,Critical,4,1,6,68.3,0,1
JOB_0116,SEC_017,South Central Railway,Drainage Clearance,2025-10-19,74,2.4,31.3,37.3,3,146,5,Critical,4,2,5,89.8,2,2
JOB_0117,SEC_013,Northern Railway,Sleeper Replacement,2025-12-03,29,6.8,12.6,88.4,3,144,4,High,3,3,10,54.4,10,3
JOB_0118,SEC_017,South Central Railway,Signal Cable Work,2025-10-11,82,3.8,31.3,37.3,3,146,4,Critical,4,3,7,90.6,5,3
JOB_0119,SEC_011,South Central Railway,Weld Repair,2025-10-24,69,2.4,11.8,43.7,1,171,4,Critical,4,1,4,76.9,0,1
JOB_0120,SEC_005,South Central Railway,Rail Replacement,2026-01-01,0,4.5,6.4,82.5,2,193,4,High,3,3,8,38.5,7,3
JOB_0121,SEC_005,South Central Railway,Weld Repair,2025-12-31,1,3.0,6.4,82.5,2,193,2,Medium,2,3,7,27.2,24,3
JOB_0122,SEC_031,Northern Railway,Signal Cable Work,2025-12-30,2,4.1,14.0,33.3,2,48,1,Medium,2,2,7,39.5,5,2
JOB_0123,SEC_002,Central Railway,Drainage Clearance,2025-11-27,35,3.0,5.7,62.8,2,25,5,Critical,4,3,7,69.5,6,3
JOB_0124,SEC_012,Southern Railway,Ballast Tamping,2025-12-20,12,3.4,39.7,39.3,2,345,5,Critical,4,1,5,74.5,4,1
JOB_0125,SEC_023,South Central Railway,Fish Plate Fixing,2025-11-12,50,1.7,42.7,92.7,2,280,1,High,3,3,5,47.1,3,3
JOB_0126,SEC_020,Central Railway,Ballast Tamping,2025-10-10,83,3.3,25.2,61.8,3,281,1,High,3,2,6,63.7,6,2
JOB_0127,SEC_036,Southern Railway,Signal Cable Work,2025-12-25,7,4.8,22.5,85.3,4,281,1,Medium,2,3,8,40.6,15,3
JOB_0128,SEC_037,Northern Railway,Ballast Tamping,2025-10-26,67,3.7,27.6,67.6,3,130,1,High,3,3,7,59.9,7,3
JOB_0129,SEC_018,Southern Railway,Rail Replacement,2025-12-23,9,7.6,8.8,63.0,1,144,3,High,3,2,10,41.7,0,2
JOB_0130,SEC_014,Central Railway,OHE Maintenance,2025-12-14,18,5.8,17.6,79.1,4,80,4,High,3,2,8,57.7,5,2
JOB_0131,SEC_037,Northern Railway,Track Geometry Correction,2025-10-21,72,5.7,27.6,67.6,3,130,4,Critical,4,3,9,75.4,2,3
JOB_0132,SEC_006,Southern Railway,Drainage Clearance,2025-11-18,44,1.2,25.1,83.9,4,203,1,Medium,2,1,3,46.1,1,1
JOB_0133,SEC_022,Eastern Railway,OHE Maintenance,2025-10-15,78,4.2,5.7,38.3,3,45,5,Critical,4,2,7,83.6,7,2
JOB_0134,SEC_032,Central Railway,Track Geometry Correction,2025-11-17,45,6.8,37.9,61.3,4,131,5,Critical,4,2,9,82.8,2,2
JOB_0135,SEC_038,Central Railway,Level Crossing Repair,2025-12-22,10,2.9,28.6,90.8,2,308,5,Critical,4,2,5,59.9,2,2
JOB_0136,SEC_025,Northern Railway,Weld Repair,2025-11-13,49,2.7,21.4,68.2,2,42,3,High,3,1,4,59.0,0,1
JOB_0137,SEC_020,Central Railway,Signal Cable Work,2025-11-16,46,2.4,25.2,61.8,3,281,3,Critical,4,3,6,69.0,6,3
JOB_0138,SEC_007,Northern Railway,Rail Replacement,2025-12-21,11,6.2,40.1,73.0,2,108,3,High,3,3,10,54.6,10,3
JOB_0139,SEC_025,Northern Railway,Rail Replacement,2025-11-25,37,5.6,21.4,68.2,2,42,4,Critical,4,1,7,68.7,2,1
JOB_0140,SEC_025,Northern Railway,Weld Repair,2025-12-15,17,2.6,21.4,68.2,2,42,3,High,3,2,5,52.8,4,2
JOB_0141,SEC_005,South Central Railway,Weld Repair,2025-11-07,55,2.8,6.4,82.5,2,193,3,High,3,2,5,51.2,3,2
JOB_0142,SEC_032,Central Railway,OHE Maintenance,2025-10-15,78,4.4,37.9,61.3,4,131,2,Critical,4,1,6,76.7,4,1
JOB_0143,SEC_001,Northern Railway,Level Crossing Repair,2025-11-20,42,3.1,29.5,77.9,1,150,5,Critical,4,2,6,69.5,2,2
JOB_0144,SEC_020,Central Railway,Sleeper Replacement,2025-10-16,77,6.4,25.2,61.8,3,281,2,Critical,4,1,8,67.4,6,1
JOB_0145,SEC_021,Western Railway,Fish Plate Fixing,2025-10-05,88,2.9,42.0,87.1,4,167,4,Critical,4,2,5,85.6,6,2
JOB_0146,SEC_024,Southern Railway,Ballast Tamping,2025-10-21,72,4.8,34.5,58.5,3,169,2,Critical,4,3,8,69.5,2,3
JOB_0147,SEC_036,Southern Railway,Rail Replacement,2025-11-03,59,5.8,22.5,85.3,4,281,2,High,3,2,8,57.5,7,2
JOB_0148,SEC_009,Western Railway,Fish Plate Fixing,2025-12-02,30,2.3,9.0,69.6,2,353,3,High,3,3,6,53.0,13,3
JOB_0149,SEC_025,Northern Railway,Ballast Tamping,2025-11-05,57,4.4,21.4,68.2,2,42,5,Critical,4,3,8,71.6,6,3
JOB_0150,SEC_035,South Central Railway,Rail Replacement,2025-11-16,46,6.4,11.4,33.7,1,287,5,Critical,4,1,8,73.9,1,1
JOB_0151,SEC_016,Eastern Railway,Sleeper Replacement,2025-12-11,21,4.2,44.8,74.2,3,293,5,Critical,4,2,7,77.6,5,2
JOB_0152,SEC_028,Eastern Railway,Ballast Tamping,2025-12-31,1,3.8,26.8,36.1,2,252,1,High,3,3,7,43.7,7,3
JOB_0153,SEC_029,South Central Railway,Sleeper Replacement,2025-11-12,50,7.9,17.2,33.9,2,37,4,Critical,4,2,10,70.4,0,2
JOB_0154,SEC_031,Northern Railway,Ballast Tamping,2025-11-25,37,5.8,14.0,33.3,2,48,4,Critical,4,1,7,67.2,1,1
JOB_0155,SEC_010,Eastern Railway,Sleeper Replacement,2025-11-23,39,6.3,25.0,74.5,2,246,3,High,3,2,9,56.1,1,2
JOB_0156,SEC_029,South Central Railway,Signal Cable Work,2025-11-22,40,3.2,17.2,33.9,2,37,1,High,3,3,7,54.1,1,3
JOB_0157,SEC_002,Central Railway,Sleeper Replacement,2025-10-11,82,7.4,5.7,62.8,2,25,1,High,3,1,9,56.3,2,1
JOB_0158,SEC_036,Southern Railway,Weld Repair,2025-11-20,42,2.9,22.5,85.3,4,281,5,Critical,4,2,5,79.4,3,2
JOB_0159,SEC_026,Central Railway,Weld Repair,2025-12-09,23,2.8,5.1,85.9,3,127,4,High,3,2,5,50.7,13,2
JOB_0160,SEC_025,Northern Railway,Rail Replacement,2025-10-03,90,4.8,21.4,68.2,2,42,2,High,3,3,8,58.1,1,3
JOB_0161,SEC_037,Northern Railway,Ballast Tamping,2025-10-25,68,4.1,27.6,67.6,3,130,2,High,3,3,8,63.2,7,3
JOB_0162,SEC_034,Eastern Railway,Sleeper Replacement,2025-10-17,76,7.1,14.3,40.1,3,294,4,Critical,4,3,11,81.4,1,3
JOB_0163,SEC_023,South Central Railway,Sleeper Replacement,2025-11-04,58,4.9,42.7,92.7,2,280,5,Critical,4,3,8,73.7,1,3
JOB_0164,SEC_009,Western Railway,Sleeper Replacement,2025-12-17,15,5.5,9.0,69.6,2,353,2,Medium,2,1,7,32.5,11,1
JOB_0165,SEC_010,Eastern Railway,Drainage Clearance,2025-11-13,49,2.2,25.0,74.5,2,246,4,Critical,4,2,5,64.5,2,2
JOB_0166,SEC_036,Southern Railway,Weld Repair,2025-10-31,62,2.3,22.5,85.3,4,281,3,High,3,2,5,63.0,7,2
JOB_0167,SEC_040,Eastern Railway,Rail Replacement,2025-11-17,45,5.9,2.4,64.9,3,298,1,Medium,2,3,9,41.8,7,3
JOB_0168,SEC_027,Western Railway,Signal Cable Work,2025-11-09,53,4.0,24.1,77.0,2,258,4,Critical,4,1,6,69.4,0,1
JOB_0169,SEC_015,Western Railway,Fish Plate Fixing,2025-12-28,4,1.4,8.6,55.0,2,358,3,High,3,3,5,44.5,15,3
JOB_0170,SEC_036,Southern Railway,Drainage Clearance,2025-12-18,14,1.2,22.5,85.3,4,281,5,Critical,4,3,5,70.4,5,3
JOB_0171,SEC_035,South Central Railway,Rail Replacement,2025-11-06,56,4.9,11.4,33.7,1,287,5,Critical,4,3,8,71.0,3,3
JOB_0172,SEC_020,Central Railway,Rail Replacement,2025-11-05,57,5.4,25.2,61.8,3,281,3,Critical,4,1,7,71.3,7,1
JOB_0173,SEC_008,Central Railway,Track Geometry Correction,2025-12-06,26,5.8,44.4,71.3,4,61,5,Critical,4,2,8,80.8,2,2
JOB_0174,SEC_040,Eastern Railway,Weld Repair,2025-12-06,26,3.6,2.4,64.9,3,298,2,Medium,2,3,7,38.6,11,3
JOB_0175,SEC_035,South Central Railway,Fish Plate Fixing,2025-10-17,76,1.3,11.4,33.7,1,287,5,Critical,4,3,5,81.7,4,3
JOB_0176,SEC_033,Western Railway,Ballast Tamping,2025-12-15,17,5.8,40.8,90.2,2,11,4,Critical,4,2,8,60.2,2,2
JOB_0177,SEC_009,Western Railway,Track Geometry Correction,2025-12-14,18,6.3,9.0,69.6,2,353,3,High,3,2,9,46.6,4,2
JOB_0178,SEC_037,Northern Railway,Fish Plate Fixing,2025-10-13,80,1.8,27.6,67.6,3,130,4,Critical,4,1,3,76.0,1,1
JOB_0179,SEC_026,Central Railway,Drainage Clearance,2025-11-27,35,1.9,5.1,85.9,3,127,3,Medium,2,3,5,41.8,1,3
JOB_0180,SEC_030,Southern Railway,Sleeper Replacement,2025-12-24,8,6.0,36.4,39.1,1,108,5,Critical,4,2,9,69.3,3,2
JOB_0181,SEC_032,Central Railway,Fish Plate Fixing,2025-11-21,41,1.7,37.9,61.3,4,131,3,Critical,4,2,4,69.5,5,2
JOB_0182,SEC_004,Eastern Railway,Rail Replacement,2025-12-20,12,4.1,34.6,44.0,2,226,4,Critical,4,1,6,65.1,7,1
JOB_0183,SEC_030,Southern Railway,Rail Replacement,2025-11-08,54,8.0,36.4,39.1,1,108,2,Critical,4,2,11,70.0,2,2
JOB_0184,SEC_018,Southern Railway,Ballast Tamping,2025-10-10,83,3.8,8.8,63.0,1,144,3,Critical,4,2,6,62.0,2,2
JOB_0185,SEC_004,Eastern Railway,Level Crossing Repair,2025-10-13,80,4.2,34.6,44.0,2,226,3,Critical,4,1,6,78.7,1,1
JOB_0186,SEC_001,Northern Railway,Track Geometry Correction,2025-11-01,61,3.5,29.5,77.9,1,150,1,High,3,1,5,45.9,7,1
JOB_0187,SEC_001,Northern Railway,Rail Replacement,2025-10-04,89,7.3,29.5,77.9,1,150,3,Critical,4,1,9,72.1,7,1
